person_id,best_name,dob,doc_count,resolution_confidence,review_status,exposed_ssn,exposed_dob,exposed_dl_number,exposed_passport_number,exposed_financial_account,exposed_card_number,exposed_medical,exposed_login_credentials,exposed_home_address,exposed_phone,exposed_email,evidence_ssn,evidence_dob,evidence_dl_number,evidence_passport_number,evidence_financial_account,evidence_card_number,evidence_medical,evidence_login_credentials,evidence_home_address,evidence_phone,evidence_email
RES_0033,Kristin Le,1943-11-14,5,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,1,DOC_0368;DOC_0374;DOC_0375,DOC_0368;DOC_0374;DOC_0375;DOC_0398,,,,DOC_0368;DOC_0374;DOC_0375,DOC_0374;DOC_0375,DOC_0077,DOC_0368,DOC_0077;DOC_0368;DOC_0398,DOC_0368;DOC_0398
RES_0034,Mike Griffin,1958-07-02,3,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0365;DOC_0368,DOC_0365;DOC_0368,,,,DOC_0365;DOC_0368,,DOC_0078,DOC_0365;DOC_0368,DOC_0078;DOC_0365;DOC_0368,DOC_0365;DOC_0368
RES_0035,Melissa Chan,,1,0.9,auto_accepted,1,0,0,0,0,0,0,1,0,0,0,DOC_0081,,,,,,,DOC_0081,,,
RES_0036,Jeffrey Walker,1999-11-08,5,0.6,needs_review,1,1,0,0,0,1,1,1,0,1,1,DOC_0084;DOC_0373;DOC_0375,DOC_0083;DOC_0373;DOC_0375,,,,DOC_0373;DOC_0375,DOC_0373;DOC_0375,DOC_0084,,DOC_0083;DOC_0399,DOC_0083;DOC_0399
RES_0037,Cody Chang,1943-09-19,3,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,1,DOC_0365;DOC_0374,DOC_0365;DOC_0374,,,,DOC_0365;DOC_0374,DOC_0374,DOC_0088,DOC_0088;DOC_0365,DOC_0088;DOC_0365,DOC_0365
RES_0038,"David Jimenez
We",,2,0.6,needs_review,1,0,1,0,0,0,0,1,1,1,0,DOC_0091,,DOC_0091,,,,,DOC_0089,DOC_0089;DOC_0091,DOC_0089,
RES_0039,Stacy Jackson,2005-08-16,3,0.9,auto_accepted,1,1,0,0,0,1,1,0,1,1,1,DOC_0365;DOC_0375,DOC_0095;DOC_0365;DOC_0375,,,,DOC_0365;DOC_0375,DOC_0375,,DOC_0365,DOC_0095;DOC_0365,DOC_0095;DOC_0365
RES_0040,Eugene W.,1997-05-11,1,0.9,auto_accepted,0,1,0,0,0,0,0,0,0,1,1,,DOC_0096,,,,,,,,DOC_0096,DOC_0096
RES_0041,"Brittany Holland
Date",1968-07-15,5,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0353;DOC_0365;DOC_0374,DOC_0101;DOC_0353;DOC_0365;DOC_0374,,,,DOC_0365;DOC_0374,DOC_0353;DOC_0374,DOC_0100,DOC_0100;DOC_0101;DOC_0353;DOC_0365,DOC_0100;DOC_0101;DOC_0353;DOC_0365,DOC_0101;DOC_0365
RES_0042,Ricky Lopez,1988-10-26,4,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0103;DOC_0337;DOC_0365,DOC_0337;DOC_0365;DOC_0439,,,,DOC_0365;DOC_0439,DOC_0337,DOC_0103,DOC_0365,DOC_0337;DOC_0365;DOC_0439,DOC_0365;DOC_0439
RES_0043,"Kristen Dixon
We",1988-02-03,6,0.6,needs_review,1,1,1,0,0,1,1,1,1,1,1,DOC_0104;DOC_0345;DOC_0365;DOC_0368,DOC_0345;DOC_0365;DOC_0368;DOC_0473,DOC_0104,,,DOC_0290;DOC_0365;DOC_0368;DOC_0473,DOC_0345,DOC_0290,DOC_0365;DOC_0368,DOC_0290;DOC_0345;DOC_0365;DOC_0368;DOC_0473,DOC_0365;DOC_0368;DOC_0473
RES_0044,Ian Reese,2003-11-08,3,0.9,auto_accepted,1,1,0,0,0,1,0,0,1,1,1,DOC_0367;DOC_0388,DOC_0106;DOC_0367;DOC_0388,,,,DOC_0367,,,DOC_0106;DOC_0367,DOC_0106;DOC_0367;DOC_0388,DOC_0106;DOC_0367;DOC_0388
RES_0045,Lauren Rodgers,,1,0.9,auto_accepted,1,0,0,0,0,0,0,1,0,0,0,DOC_0108,,,,,,,DOC_0108,,,
RES_0046,Meilssa White,1960-04-15,5,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,1,DOC_0112;DOC_0304;DOC_0370,DOC_0304;DOC_0370,,,,DOC_0370,DOC_0304,DOC_0112;DOC_0113,DOC_0370,DOC_0113;DOC_0304;DOC_0370;DOC_0445,DOC_0370;DOC_0445
RES_0047,Justin Ortiz,1962-06-30,3,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0365;DOC_0368,DOC_0365;DOC_0368,,,,DOC_0365;DOC_0368,,DOC_0115,DOC_0365;DOC_0368,DOC_0115;DOC_0365;DOC_0368,DOC_0365;DOC_0368
RES_0048,Anna Lewis,1992-08-30,3,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0367;DOC_0370,DOC_0367;DOC_0370,,,,DOC_0367;DOC_0370,,DOC_0116,DOC_0367;DOC_0370,DOC_0116;DOC_0367;DOC_0370,DOC_0367;DOC_0370
RES_0049,"Kristie Hernandez
Date",1963-06-16,5,0.9,auto_accepted,1,1,1,0,0,0,1,1,1,1,1,DOC_0117;DOC_0119;DOC_0321;DOC_0517,DOC_0321,DOC_0117,,,,DOC_0321,DOC_0119;DOC_0517,DOC_0117;DOC_0119;DOC_0321;DOC_0395;DOC_0517,DOC_0321;DOC_0395,DOC_0395
RES_0050,Angela Fry,1948-08-24,2,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,0,DOC_0371,DOC_0371,,,,DOC_0371,DOC_0371,DOC_0121,DOC_0121,DOC_0121,
RES_0051,Kevin Carey,1971-12-20,3,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0328;DOC_0365,DOC_0328;DOC_0365,,,,DOC_0365,DOC_0328,DOC_0123,DOC_0365,DOC_0123;DOC_0328;DOC_0365,DOC_0365
RES_0052,"Eddie Delgado
We",1943-02-04,3,0.9,auto_accepted,1,1,1,0,0,1,0,1,1,1,1,DOC_0124;DOC_0125;DOC_0365,DOC_0365,DOC_0124,,,DOC_0365,,DOC_0125,DOC_0365,DOC_0365,DOC_0365
RES_0053,Linda Lewis,1984-02-28,6,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0318;DOC_0369;DOC_0375;DOC_0376;DOC_0515,DOC_0318;DOC_0369;DOC_0375;DOC_0376,,,,DOC_0369;DOC_0375;DOC_0376,DOC_0318;DOC_0375;DOC_0376,DOC_0128;DOC_0515,DOC_0369,DOC_0128;DOC_0318;DOC_0369,DOC_0369
RES_0054,Stacey Thomas,,1,0.9,auto_accepted,1,0,0,0,0,0,0,1,0,0,0,DOC_0130,,,,,,,DOC_0130,,,
RES_0055,Alexandra Bishop,1957-04-09,2,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0368,DOC_0368,,,,DOC_0368,,DOC_0133,DOC_0133;DOC_0368,DOC_0133;DOC_0368,DOC_0368
RES_0056,"Paul Ferrell
We",,1,0.9,auto_accepted,1,0,1,0,0,0,0,0,1,0,0,DOC_0136,,DOC_0136,,,,,,DOC_0136,,
RES_0057,"Laura Schneider
We",1974-07-29,5,0.6,needs_review,1,1,1,0,0,1,1,1,1,1,1,DOC_0138;DOC_0325;DOC_0368;DOC_0373,DOC_0325;DOC_0368;DOC_0373,DOC_0138,,,DOC_0368;DOC_0373,DOC_0325;DOC_0373,DOC_0137,DOC_0368,DOC_0137;DOC_0325;DOC_0368,DOC_0368
RES_0058,"Kenneth Mullins
We",1988-01-24,3,0.9,auto_accepted,1,1,1,0,0,1,1,0,1,1,1,DOC_0141;DOC_0366;DOC_0374,DOC_0366;DOC_0374,DOC_0141,,,DOC_0366;DOC_0374,DOC_0374,,DOC_0366,DOC_0366,DOC_0366
RES_0059,Richard Randall,1970-12-03,3,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0365,DOC_0365;DOC_0400,,,,DOC_0365;DOC_0400,,DOC_0145,DOC_0145;DOC_0365,DOC_0145;DOC_0365;DOC_0400,DOC_0365;DOC_0400
RES_0060,"Harry Collins
We",,1,0.9,auto_accepted,1,0,1,0,0,0,0,0,1,0,0,DOC_0146,,DOC_0146,,,,,,DOC_0146,,
RES_0061,Harry Knox,1984-06-10,3,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0147;DOC_0365;DOC_0373,DOC_0365;DOC_0373,,,,DOC_0365;DOC_0373,DOC_0373,DOC_0147,DOC_0147;DOC_0365,DOC_0365,DOC_0365
RES_0062,Michael Montoya,2001-02-05,6,0.9,auto_accepted,1,1,0,0,0,1,1,0,1,1,1,DOC_0303;DOC_0365;DOC_0368;DOC_0370;DOC_0376,DOC_0148;DOC_0303;DOC_0365;DOC_0368;DOC_0370;DOC_0376,,,,DOC_0365;DOC_0368;DOC_0370;DOC_0376,DOC_0303;DOC_0376,,DOC_0365;DOC_0368;DOC_0370,DOC_0148;DOC_0303;DOC_0365;DOC_0368;DOC_0370,DOC_0148;DOC_0365;DOC_0368;DOC_0370
RES_0063,Ebony Henry,1958-05-22,4,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0309;DOC_0365;DOC_0370,DOC_0309;DOC_0365;DOC_0370,,,,DOC_0365;DOC_0370,DOC_0309,DOC_0151,DOC_0151;DOC_0309;DOC_0365;DOC_0370,DOC_0151;DOC_0309;DOC_0365;DOC_0370,DOC_0365;DOC_0370
RES_0064,"John Hernandez
Date",1942-06-25,5,0.6,needs_review,1,1,1,0,0,1,1,1,1,1,1,DOC_0156;DOC_0302;DOC_0365;DOC_0369,DOC_0302;DOC_0365;DOC_0369,DOC_0156,,,DOC_0365;DOC_0369,DOC_0302,DOC_0154,DOC_0365;DOC_0369,DOC_0154;DOC_0302;DOC_0365;DOC_0369,DOC_0365;DOC_0369
RES_0065,Paul Fowler,1988-03-28,4,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,1,DOC_0365;DOC_0373,DOC_0365;DOC_0373;DOC_0462,,,,DOC_0365;DOC_0373,DOC_0373,DOC_0157,DOC_0157;DOC_0365;DOC_0462,DOC_0157;DOC_0365;DOC_0462,DOC_0365;DOC_0462
RES_0066,George Bradley,1941-07-22,3,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0366;DOC_0466,DOC_0366;DOC_0466,,,,DOC_0366,,DOC_0159,DOC_0159;DOC_0366,DOC_0159;DOC_0366;DOC_0466,DOC_0366;DOC_0466
RES_0067,Raymond Thompson,2006-03-21,5,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0162;DOC_0368;DOC_0369;DOC_0374;DOC_0376,DOC_0368;DOC_0369;DOC_0374;DOC_0376,,,,DOC_0368;DOC_0369;DOC_0374;DOC_0376,DOC_0374;DOC_0376,DOC_0162,DOC_0368;DOC_0369,DOC_0368;DOC_0369,DOC_0368;DOC_0369
RES_0068,Christopher Mcdowell,1960-11-01,3,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,1,DOC_0365;DOC_0371,DOC_0365;DOC_0371,,,,DOC_0365;DOC_0371,DOC_0371,DOC_0164,DOC_0365,DOC_0164;DOC_0365,DOC_0365
RES_0069,"Ricardo Palmer
We",1989-11-14,4,0.6,needs_review,1,1,1,0,0,1,1,1,1,1,1,DOC_0365;DOC_0373;DOC_0519,DOC_0365;DOC_0373,DOC_0519,,,DOC_0365;DOC_0373,DOC_0373,DOC_0166,DOC_0166;DOC_0365;DOC_0519,DOC_0166;DOC_0365,DOC_0365
RES_0070,David Dawson,,2,0.6,needs_review,1,0,0,0,0,0,0,1,1,1,0,DOC_0170,,,,,,,DOC_0169;DOC_0170,DOC_0169;DOC_0170,DOC_0169,
RES_0071,Karen Shaw,1941-11-12,5,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0171;DOC_0365;DOC_0370,DOC_0365;DOC_0370;DOC_0456,,,,DOC_0365;DOC_0370,,DOC_0171;DOC_0172,DOC_0171;DOC_0172;DOC_0365;DOC_0370;DOC_0456,DOC_0172;DOC_0365;DOC_0370;DOC_0456,DOC_0365;DOC_0370;DOC_0456
RES_0072,Krista Thomas,,1,0.9,auto_accepted,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,DOC_0173,,DOC_0173,
RES_0073,"Lisa Terrell
We",1949-01-29,3,0.9,auto_accepted,1,1,1,0,0,1,0,0,1,1,1,DOC_0175;DOC_0367,DOC_0367;DOC_0385,DOC_0175,,,DOC_0367;DOC_0385,,,DOC_0367,DOC_0367;DOC_0385,DOC_0367;DOC_0385
RES_0074,"Lance Garrett
We",1947-03-05,6,0.9,auto_accepted,1,1,1,0,0,1,1,1,1,1,1,DOC_0176;DOC_0178;DOC_0365;DOC_0368;DOC_0371;DOC_0409,DOC_0365;DOC_0368;DOC_0371;DOC_0409,DOC_0176,,,DOC_0365;DOC_0368;DOC_0371,DOC_0371,DOC_0178,DOC_0176;DOC_0178;DOC_0365;DOC_0368,DOC_0365;DOC_0368;DOC_0409,DOC_0365;DOC_0368;DOC_0409
RES_0075,Holly Williams,2000-10-24,3,0.9,auto_accepted,1,1,0,0,0,1,1,0,0,1,1,DOC_0372;DOC_0447,DOC_0184;DOC_0372;DOC_0447,,,,DOC_0372,DOC_0372,,,DOC_0184,DOC_0184;DOC_0447
RES_0076,"Katie Mcfarland
Date",1966-01-27,5,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0188;DOC_0320;DOC_0374;DOC_0375,DOC_0320;DOC_0374;DOC_0375,,,,DOC_0374;DOC_0375,DOC_0320;DOC_0374;DOC_0375,DOC_0188,DOC_0188;DOC_0320;DOC_0411,DOC_0320;DOC_0411,DOC_0411
RES_0077,Victor Harris,1966-02-23,3,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0356;DOC_0369,DOC_0356;DOC_0369,,,,DOC_0369,DOC_0356,DOC_0190,DOC_0369,DOC_0190;DOC_0356;DOC_0369,DOC_0369
RES_0078,"Sandra Larson
Date",1950-12-27,4,0.9,auto_accepted,1,1,1,0,0,1,1,0,1,1,1,DOC_0191;DOC_0319;DOC_0365;DOC_0373,DOC_0319;DOC_0365;DOC_0373,DOC_0191,,,DOC_0365;DOC_0373,DOC_0319;DOC_0373,,DOC_0365,DOC_0319;DOC_0365,DOC_0365
RES_0079,Heather Mason,,1,0.9,auto_accepted,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,DOC_0192,,DOC_0192,
RES_0080,Joy Pineda,1991-03-26,3,0.9,auto_accepted,1,1,0,0,0,1,1,0,0,1,1,DOC_0371;DOC_0376,DOC_0196;DOC_0371;DOC_0376,,,,DOC_0371;DOC_0376,DOC_0371;DOC_0376,,,DOC_0196,DOC_0196
RES_0081,Angela Mcbride,1948-12-18,6,0.6,needs_review,1,1,0,0,0,1,1,1,1,1,1,DOC_0199;DOC_0316;DOC_0368;DOC_0373;DOC_0392,DOC_0316;DOC_0368;DOC_0373;DOC_0392,,,,DOC_0368;DOC_0373,DOC_0316;DOC_0373,DOC_0199;DOC_0200,DOC_0368,DOC_0200;DOC_0316;DOC_0368;DOC_0392,DOC_0368;DOC_0392
RES_0082,Misty Perez,,2,0.6,needs_review,1,0,0,0,0,0,0,1,1,1,0,DOC_0201,,,,,,,DOC_0201;DOC_0202,DOC_0201;DOC_0202,DOC_0202,
RES_0083,John Stevenson,2005-04-03,2,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0205,DOC_0434,,,,DOC_0434,,DOC_0205,DOC_0205,DOC_0434,DOC_0434
RES_0084,"Dennis Fisher
Date",1963-02-13,4,0.9,auto_accepted,1,1,1,0,0,1,1,0,1,1,1,DOC_0207;DOC_0301;DOC_0372,DOC_0301;DOC_0372;DOC_0383,DOC_0207,,,DOC_0372;DOC_0383,DOC_0301;DOC_0372,,DOC_0207;DOC_0301,DOC_0301;DOC_0383,DOC_0383
RES_0085,Hunter Smith,1985-07-04,3,0.9,auto_accepted,1,1,0,0,0,0,1,1,0,1,1,DOC_0332,DOC_0332,,,,,DOC_0332,DOC_0209,,DOC_0209;DOC_0332;DOC_0402,DOC_0402
RES_0086,Jamie Smith,1979-06-27,2,0.9,auto_accepted,1,1,0,0,0,1,0,1,1,1,1,DOC_0211;DOC_0367,DOC_0367,,,,DOC_0367,,DOC_0211,DOC_0211;DOC_0367,DOC_0367,DOC_0367
RES_0087,Chad Jones,1957-04-10,3,0.9,auto_accepted,1,1,0,0,0,1,1,0,1,1,1,DOC_0365;DOC_0371,DOC_0212;DOC_0365;DOC_0371,,,,DOC_0365;DOC_0371,DOC_0371,,DOC_0212;DOC_0365,DOC_0212;DOC_0365,DOC_0212;DOC_0365
RES_0088,"Sarah Cochran
Date",1988-12-18,4,0.9,auto_accepted,1,1,1,0,0,1,1,0,1,1,1,DOC_0215;DOC_0349;DOC_0365;DOC_0376,DOC_0349;DOC_0365;DOC_0376,DOC_0215,,,DOC_0365;DOC_0376,DOC_0349;DOC_0376,,DOC_0215;DOC_0349;DOC_0365,DOC_0349;DOC_0365,DOC_0365
RES_0089,Evelyn Hunter,1958-06-20,4,0.6,needs_review,1,1,0,0,0,1,0,1,1,1,1,DOC_0219;DOC_0365;DOC_0367,DOC_0220;DOC_0365;DOC_0367,,,,DOC_0365;DOC_0367,,DOC_0219,DOC_0219;DOC_0220;DOC_0365;DOC_0367,DOC_0220;DOC_0365;DOC_0367,DOC_0220;DOC_0365;DOC_0367
RES_0090,"Heather Price
Date",1941-04-09,3,0.6,needs_review,1,1,1,0,0,0,1,1,0,1,0,DOC_0221;DOC_0333,DOC_0333,DOC_0221,,,,DOC_0333,DOC_0222,,DOC_0222;DOC_0333,
RES_0091,Linda Contreras,1998-07-06,4,0.9,auto_accepted,1,1,0,0,0,1,1,1,1,1,1,DOC_0373,DOC_0224;DOC_0373,,,,DOC_0373,DOC_0373,DOC_0223,DOC_0223;DOC_0224;DOC_0414,DOC_0223;DOC_0224;DOC_0414,DOC_0224;DOC_0414
